FlightID,RouteCode,Origin,Destination,OriginCountry,DestinationCountry,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
F0269,DEL-LHR,Delhi,London,India,UK,2023-10-24,520,B787,250,139,4801616,3396182
F0270,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-06-25,280,A320,180,169,6447688,6391006
F0271,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-01,280,A320,180,145,2165865,1700552
F0272,DEL-LHR,Delhi,London,India,UK,2024-06-20,520,B787,250,135,4581360,4602817
F0273,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-08-15,280,A320,180,132,2510376,1824372
F0274,DEL-BLR,Delhi,Bangalore,India,India,2024-06-27,145,B737,160,145,3002515,3053776
F0275,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-12-26,280,A320,180,172,3040788,2380006
F0276,BOM-GOA,Mumbai,Goa,India,India,2023-09-20,75,ATR72,72,48,929760,846862
F0277,DEL-BLR,Delhi,Bangalore,India,India,2023-07-01,145,B737,160,160,6461120,5571963
F0278,BOM-JFK,Mumbai,New York,India,USA,2024-08-01,910,B777,300,232,11392360,9235200
F0279,BOM-JFK,Mumbai,New York,India,USA,2023-03-11,910,B777,300,270,9984600,9195664
F0280,BOM-DXB,Mumbai,Dubai,India,UAE,2023-02-27,190,A321,200,145,5980960,4341977
F0281,BOM-JFK,Mumbai,New York,India,USA,2024-04-07,910,B777,300,159,1864752,1545987
F0282,BOM-DXB,Mumbai,Dubai,India,UAE,2023-03-20,190,A321,200,182,2532894,2318238
F0283,DEL-LHR,Delhi,London,India,UK,2024-04-18,520,B787,250,199,8821073,9120822
F0284,BOM-DEL,Mumbai,Delhi,India,India,2024-04-05,120,A320,180,163,3314768,2693362
F0285,BOM-JFK,Mumbai,New York,India,USA,2024-05-28,910,B777,300,188,2266152,1943640
F0286,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-03-28,280,A320,180,154,2973432,2122137
F0287,BOM-JFK,Mumbai,New York,India,USA,2024-03-25,910,B777,300,284,12001272,10962344
F0288,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-01-17,280,A320,180,126,4207014,3546804
F0289,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-02-23,280,A320,180,170,5088270,3679171
F0290,DEL-BLR,Delhi,Bangalore,India,India,2024-07-25,145,B737,160,129,3434109,2706759
F0291,BOM-GOA,Mumbai,Goa,India,India,2023-12-08,75,ATR72,72,41,1893790,1765512
F0292,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-11-14,280,A320,180,173,5827851,4342524
F0293,DEL-BLR,Delhi,Bangalore,India,India,2023-11-14,145,B737,160,151,4935586,4566515
F0294,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-05-11,280,A320,180,175,7436975,5449135
F0295,DEL-LHR,Delhi,London,India,UK,2024-06-04,520,B787,250,171,1572174,1300045
F0296,BOM-GOA,Mumbai,Goa,India,India,2023-08-08,75,ATR72,72,57,2272476,1743447
F0297,BOM-GOA,Mumbai,Goa,India,India,2023-06-08,75,ATR72,72,40,1095400,1090525
F0298,DEL-BLR,Delhi,Bangalore,India,India,2024-06-03,145,B737,160,149,6333394,4517050
F0299,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-05-15,280,A320,180,166,5426208,4091298
F0300,BOM-GOA,Mumbai,Goa,India,India,2023-06-19,75,ATR72,72,64,695232,586637
F0301,DEL-HYD,Delhi,Hyderabad,India,India,2024-03-30,115,A320,180,168,4481064,4316774
F0302,BOM-JFK,Mumbai,New York,India,USA,2023-08-28,910,B777,300,286,6770764,5472901
F0303,BOM-JFK,Mumbai,New York,India,USA,2023-07-18,910,B777,300,244,11073452,11566817
F0304,BOM-JFK,Mumbai,New York,India,USA,2023-10-16,910,B777,300,247,10116626,8949277
F0305,BOM-GOA,Mumbai,Goa,India,India,2023-07-24,75,ATR72,72,44,1072896,770621
F0306,BOM-JFK,Mumbai,New York,India,USA,2024-01-16,910,B777,300,291,4284393,4065847
F0307,DEL-BLR,Delhi,Bangalore,India,India,2023-10-19,145,B737,160,90,1665540,1324898
F0308,BOM-GOA,Mumbai,Goa,India,India,2024-03-23,75,ATR72,72,41,924591,911504
F0309,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-01-28,280,A320,180,143,1643070,1378139
F0310,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-08-30,280,A320,180,139,1855372,1542221
F0311,BOM-DEL,Mumbai,Delhi,India,India,2023-11-23,120,A320,180,102,3057246,2986878
F0312,BOM-GOA,Mumbai,Goa,India,India,2023-02-09,75,ATR72,72,54,2103948,1985338
F0313,BOM-GOA,Mumbai,Goa,India,India,2024-04-25,75,ATR72,72,64,3092928,2170734
F0314,DEL-BLR,Delhi,Bangalore,India,India,2023-01-20,145,B737,160,112,2478896,2459652
F0315,DEL-LHR,Delhi,London,India,UK,2023-04-24,520,B787,250,224,6021344,4715760
F0316,DEL-BLR,Delhi,Bangalore,India,India,2023-02-18,145,B737,160,110,3906430,3608108
F0317,BOM-JFK,Mumbai,New York,India,USA,2023-03-06,910,B777,300,178,7254568,6593376
F0318,BOM-DEL,Mumbai,Delhi,India,India,2024-06-11,120,A320,180,163,3888365,3699742
F0319,BOM-DXB,Mumbai,Dubai,India,UAE,2024-03-15,190,A321,200,100,4829200,3976776
F0320,DEL-LHR,Delhi,London,India,UK,2023-07-11,520,B787,250,210,2858100,2524329
F0321,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-03-11,280,A320,180,157,6853992,6014821
F0322,BOM-DEL,Mumbai,Delhi,India,India,2024-02-04,120,A320,180,150,1627950,1501759
F0323,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-09-17,280,A320,180,92,2888984,2819596
F0324,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-09-04,280,A320,180,174,8556102,6299706
F0325,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-05-17,280,A320,180,95,2953360,2631753
F0326,BOM-GOA,Mumbai,Goa,India,India,2024-04-20,75,ATR72,72,66,3260466,2490335
F0327,BOM-GOA,Mumbai,Goa,India,India,2023-03-06,75,ATR72,72,65,677495,543828
F0328,BOM-DEL,Mumbai,Delhi,India,India,2023-07-24,120,A320,180,95,2724790,2797486
F0329,DEL-LHR,Delhi,London,India,UK,2024-07-10,520,B787,250,185,4551185,3244163
F0330,DEL-HYD,Delhi,Hyderabad,India,India,2023-10-20,115,A320,180,135,1502820,1507372
F0331,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-10-07,280,A320,180,105,3372390,2876422
F0332,DEL-LHR,Delhi,London,India,UK,2024-03-26,520,B787,250,239,7968021,6523122
F0333,BOM-GOA,Mumbai,Goa,India,India,2024-05-23,75,ATR72,72,67,2148958,2199477
F0334,BOM-DXB,Mumbai,Dubai,India,UAE,2023-03-26,190,A321,200,193,6913260,5030257
F0335,BOM-GOA,Mumbai,Goa,India,India,2024-07-12,75,ATR72,72,54,1568700,1154420
F0336,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-10-30,280,A320,180,129,4801767,4374013
F0337,DEL-LHR,Delhi,London,India,UK,2023-06-20,520,B787,250,213,7900383,6502342
F0338,BOM-DEL,Mumbai,Delhi,India,India,2023-12-28,120,A320,180,168,6132672,4882185
F0339,BOM-DEL,Mumbai,Delhi,India,India,2023-03-18,120,A320,180,175,8711500,7336595
F0340,BOM-GOA,Mumbai,Goa,India,India,2023-02-01,75,ATR72,72,45,2151765,2016916
F0341,BOM-JFK,Mumbai,New York,India,USA,2023-02-05,910,B777,300,182,2257892,1767022
F0342,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-01-06,280,A320,180,139,6279186,4466603
F0343,BOM-GOA,Mumbai,Goa,India,India,2024-04-05,75,ATR72,72,59,1910420,1634132
F0344,DEL-BLR,Delhi,Bangalore,India,India,2024-08-10,145,B737,160,97,4141706,3431123
F0345,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-10-13,280,A320,180,121,1867514,1324197
F0346,BOM-GOA,Mumbai,Goa,India,India,2024-05-26,75,ATR72,72,69,2301909,2347348
F0347,DEL-BLR,Delhi,Bangalore,India,India,2023-09-26,145,B737,160,113,4208798,3262237
F0348,BOM-DXB,Mumbai,Dubai,India,UAE,2024-05-17,190,A321,200,125,2004625,1498467
F0349,DEL-BLR,Delhi,Bangalore,India,India,2024-04-07,145,B737,160,102,3791340,3977274
F0350,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-12-22,280,A320,180,180,2205900,1968763
F0351,BOM-DXB,Mumbai,Dubai,India,UAE,2023-11-04,190,A321,200,120,5975040,4546598
F0352,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-06-04,280,A320,180,118,1882454,1966781
F0353,BOM-GOA,Mumbai,Goa,India,India,2023-08-31,75,ATR72,72,67,651374,538239
F0354,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-04-23,280,A320,180,160,2640640,2414025
F0355,DEL-BLR,Delhi,Bangalore,India,India,2023-03-09,145,B737,160,119,4057067,4259345
F0356,BOM-JFK,Mumbai,New York,India,USA,2024-06-22,910,B777,300,255,8882160,8777073
F0357,DEL-BLR,Delhi,Bangalore,India,India,2023-05-09,145,B737,160,120,1543200,1323280
F0358,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-05-12,280,A320,180,160,7988640,7235511
F0359,BOM-GOA,Mumbai,Goa,India,India,2024-03-19,75,ATR72,72,68,790908,783779
F0360,BOM-GOA,Mumbai,Goa,India,India,2023-11-08,75,ATR72,72,46,856244,696067
F0361,DEL-HYD,Delhi,Hyderabad,India,India,2023-12-21,115,A320,180,156,4151940,4135651
F0362,BOM-DXB,Mumbai,Dubai,India,UAE,2023-07-21,190,A321,200,181,7981919,6354069
F0363,BOM-DXB,Mumbai,Dubai,India,UAE,2024-06-30,190,A321,200,111,4543896,4200130
F0364,BOM-GOA,Mumbai,Goa,India,India,2023-06-25,75,ATR72,72,57,2561409,1829916
F0365,BOM-DEL,Mumbai,Delhi,India,India,2023-03-25,120,A320,180,95,4350905,3448655
F0366,DEL-HYD,Delhi,Hyderabad,India,India,2024-08-08,115,A320,180,143,6936644,6407009
F0367,BOM-JFK,Mumbai,New York,India,USA,2024-07-12,910,B777,300,224,6226752,5411238
F0368,DEL-LHR,Delhi,London,India,UK,2023-11-01,520,B787,250,183,2339106,2201133
F0369,BOM-GOA,Mumbai,Goa,India,India,2024-03-26,75,ATR72,72,62,2463570,2124964
F0370,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-05-28,280,A320,180,130,3760380,3598570
F0371,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-02-13,280,A320,180,106,3421998,3012189
F0372,DEL-BLR,Delhi,Bangalore,India,India,2023-11-23,145,B737,160,110,4242700,3151828
F0373,BOM-JFK,Mumbai,New York,India,USA,2023-09-11,910,B777,300,186,2667984,1914843
F0374,DEL-LHR,Delhi,London,India,UK,2024-03-04,520,B787,250,156,2880696,2836671
F0375,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-07-14,280,A320,180,110,4471940,4689228
F0376,BOM-JFK,Mumbai,New York,India,USA,2024-05-25,910,B777,300,228,9255660,6554041
F0377,DEL-LHR,Delhi,London,India,UK,2024-06-01,520,B787,250,183,4351008,3373338
F0378,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-02-19,280,A320,180,96,2538048,2216256
F0379,BOM-JFK,Mumbai,New York,India,USA,2023-10-20,910,B777,300,287,2449545,2440996
F0380,DEL-LHR,Delhi,London,India,UK,2023-05-18,520,B787,250,237,6003684,5731283
F0381,DEL-LHR,Delhi,London,India,UK,2024-01-10,520,B787,250,130,4452760,3196659
F0382,DEL-HYD,Delhi,Hyderabad,India,India,2024-01-07,115,A320,180,160,4306080,3125077
F0383,BOM-JFK,Mumbai,New York,India,USA,2024-07-17,910,B777,300,221,10794524,10126769
F0384,DEL-BLR,Delhi,Bangalore,India,India,2023-05-12,145,B737,160,92,3110888,2583963
F0385,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-07-25,280,A320,180,136,2373744,1827000
F0386,DEL-LHR,Delhi,London,India,UK,2024-05-27,520,B787,250,130,1425970,1017600
F0387,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-04-30,280,A320,180,156,5920044,4452638
F0388,BOM-GOA,Mumbai,Goa,India,India,2023-12-02,75,ATR72,72,56,1044344,874673
F0389,BOM-DXB,Mumbai,Dubai,India,UAE,2023-12-11,190,A321,200,164,6790256,6018332
F0390,BOM-DXB,Mumbai,Dubai,India,UAE,2024-05-01,190,A321,200,102,3278280,2674859
F0391,DEL-BLR,Delhi,Bangalore,India,India,2024-03-02,145,B737,160,154,4337102,4245433
F0392,BOM-DEL,Mumbai,Delhi,India,India,2024-04-30,120,A320,180,123,5646930,5094502
F0393,BOM-DEL,Mumbai,Delhi,India,India,2024-08-20,120,A320,180,151,2895274,2557920
F0394,DEL-LHR,Delhi,London,India,UK,2023-06-01,520,B787,250,230,5490560,3904060
F0395,DEL-BLR,Delhi,Bangalore,India,India,2023-07-15,145,B737,160,82,3026046,2450468
F0396,BOM-GOA,Mumbai,Goa,India,India,2024-02-27,75,ATR72,72,49,1709806,1497169
F0397,BOM-JFK,Mumbai,New York,India,USA,2023-03-05,910,B777,300,185,7768520,6001722
F0398,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-05-04,280,A320,180,157,5133115,4156865
F0399,BOM-GOA,Mumbai,Goa,India,India,2024-04-15,75,ATR72,72,70,2130380,1898585
F0400,BOM-DXB,Mumbai,Dubai,India,UAE,2024-05-10,190,A321,200,124,2995220,2389143
F0401,BOM-DXB,Mumbai,Dubai,India,UAE,2023-08-19,190,A321,200,138,3717720,3519622
F0402,BOM-JFK,Mumbai,New York,India,USA,2023-11-21,910,B777,300,272,8393648,7522141
F0403,BOM-DXB,Mumbai,Dubai,India,UAE,2023-10-22,190,A321,200,115,5242045,4910840
F0404,DEL-LHR,Delhi,London,India,UK,2024-02-09,520,B787,250,229,7011522,7250706
F0405,BOM-GOA,Mumbai,Goa,India,India,2023-10-25,75,ATR72,72,38,1020300,1055357
F0406,DEL-BLR,Delhi,Bangalore,India,India,2023-12-21,145,B737,160,136,3373616,3243962
F0407,DEL-HYD,Delhi,Hyderabad,India,India,2023-07-26,115,A320,180,158,4071344,4179472
F0408,BOM-DXB,Mumbai,Dubai,India,UAE,2023-05-21,190,A321,200,113,5463437,5241139
F0409,DEL-HYD,Delhi,Hyderabad,India,India,2023-09-06,115,A320,180,96,4108992,3200843
F0410,DEL-HYD,Delhi,Hyderabad,India,India,2023-02-23,115,A320,180,102,3578772,2918856
F0411,BOM-JFK,Mumbai,New York,India,USA,2023-04-13,910,B777,300,185,1542715,1600692
F0412,BOM-GOA,Mumbai,Goa,India,India,2024-02-21,75,ATR72,72,66,2593140,2405626
F0413,BOM-DXB,Mumbai,Dubai,India,UAE,2023-11-25,190,A321,200,136,1615272,1643988
F0414,DEL-BLR,Delhi,Bangalore,India,India,2024-08-10,145,B737,160,109,4694739,4500096
F0415,BOM-DEL,Mumbai,Delhi,India,India,2023-06-29,120,A320,180,143,2791360,2866371
F0416,BOM-DEL,Mumbai,Delhi,India,India,2024-02-11,120,A320,180,153,3092130,3178131
F0417,BOM-DXB,Mumbai,Dubai,India,UAE,2023-02-08,190,A321,200,101,2783055,2501372
F0418,DEL-BLR,Delhi,Bangalore,India,India,2023-12-10,145,B737,160,116,4382016,4584398
F0419,BOM-JFK,Mumbai,New York,India,USA,2023-05-18,910,B777,300,279,10789488,8582961
F0420,DEL-BLR,Delhi,Bangalore,India,India,2023-12-05,145,B737,160,100,3807500,3529171
F0421,BOM-GOA,Mumbai,Goa,India,India,2023-01-15,75,ATR72,72,57,1558038,1400245
F0422,DEL-HYD,Delhi,Hyderabad,India,India,2023-06-29,115,A320,180,168,8376312,8493286
F0423,DEL-LHR,Delhi,London,India,UK,2024-06-11,520,B787,250,166,2271544,1908759
F0424,DEL-BLR,Delhi,Bangalore,India,India,2023-07-09,145,B737,160,97,3811130,3099441
F0425,DEL-HYD,Delhi,Hyderabad,India,India,2023-01-07,115,A320,180,123,4075851,3189078
F0426,BOM-DXB,Mumbai,Dubai,India,UAE,2023-12-04,190,A321,200,138,6371736,6072321
F0427,BOM-DEL,Mumbai,Delhi,India,India,2023-09-25,120,A320,180,173,5460399,5146256
F0428,BOM-DEL,Mumbai,Delhi,India,India,2023-05-02,120,A320,180,149,4187794,3165557
F0429,BOM-DXB,Mumbai,Dubai,India,UAE,2023-05-01,190,A321,200,181,4947635,4099810
F0430,DEL-HYD,Delhi,Hyderabad,India,India,2023-08-13,115,A320,180,107,4209166,3172090
F0431,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-03-01,280,A320,180,179,7874926,8028320
F0432,DEL-HYD,Delhi,Hyderabad,India,India,2023-09-11,115,A320,180,177,8327319,8373929
F0433,DEL-BLR,Delhi,Bangalore,India,India,2024-06-22,145,B737,160,137,5838118,5524716
F0434,DEL-BLR,Delhi,Bangalore,India,India,2024-07-31,145,B737,160,94,1132418,1121174
F0435,DEL-HYD,Delhi,Hyderabad,India,India,2024-08-09,115,A320,180,158,2815560,2133034
F0436,BOM-JFK,Mumbai,New York,India,USA,2023-04-30,910,B777,300,202,9335834,8132349
F0437,BOM-JFK,Mumbai,New York,India,USA,2023-02-26,910,B777,300,266,4428102,3895121
F0438,BOM-JFK,Mumbai,New York,India,USA,2024-07-31,910,B777,300,164,7317844,6306755
F0439,BOM-DXB,Mumbai,Dubai,India,UAE,2023-01-23,190,A321,200,150,3701400,3648686
F0440,DEL-HYD,Delhi,Hyderabad,India,India,2024-08-15,115,A320,180,99,1085832,921104
F0441,DEL-BLR,Delhi,Bangalore,India,India,2024-07-08,145,B737,160,87,1089501,1138689
F0442,BOM-JFK,Mumbai,New York,India,USA,2023-02-02,910,B777,300,223,7759285,5920283
F0443,BOM-GOA,Mumbai,Goa,India,India,2024-03-06,75,ATR72,72,59,1950894,1671892
F0444,DEL-LHR,Delhi,London,India,UK,2024-01-20,520,B787,250,135,5851305,4368270
F0445,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-05-02,280,A320,180,112,4839408,4053345
F0446,BOM-GOA,Mumbai,Goa,India,India,2023-08-17,75,ATR72,72,36,341604,356112
F0447,BOM-JFK,Mumbai,New York,India,USA,2024-07-11,910,B777,300,258,11057880,9208413
F0448,DEL-HYD,Delhi,Hyderabad,India,India,2023-09-11,115,A320,180,148,4541380,3425528
F0449,DEL-HYD,Delhi,Hyderabad,India,India,2023-04-26,115,A320,180,94,3334650,3051948
F0450,BOM-DEL,Mumbai,Delhi,India,India,2023-09-04,120,A320,180,116,1439444,1058443
F0451,BOM-DEL,Mumbai,Delhi,India,India,2024-04-02,120,A320,180,166,1857540,1459389
F0452,BOM-DEL,Mumbai,Delhi,India,India,2024-02-16,120,A320,180,146,3410122,3031311
F0453,BOM-DEL,Mumbai,Delhi,India,India,2023-05-24,120,A320,180,154,4151378,3246197
F0454,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-08-14,280,A320,180,166,4816490,3770909
F0455,BOM-GOA,Mumbai,Goa,India,India,2024-06-17,75,ATR72,72,50,1755150,1413203
F0456,BOM-DEL,Mumbai,Delhi,India,India,2024-07-24,120,A320,180,165,3213705,2953708
F0457,DEL-LHR,Delhi,London,India,UK,2024-07-23,520,B787,250,188,2081536,2165425
F0458,DEL-LHR,Delhi,London,India,UK,2024-06-21,520,B787,250,165,5821860,4907191
F0459,BOM-DXB,Mumbai,Dubai,India,UAE,2024-01-21,190,A321,200,123,5320119,4605795
F0460,DEL-HYD,Delhi,Hyderabad,India,India,2023-11-04,115,A320,180,180,3142800,3086297
F0461,BOM-DEL,Mumbai,Delhi,India,India,2024-07-29,120,A320,180,142,5012032,4486021
F0462,BOM-GOA,Mumbai,Goa,India,India,2024-02-02,75,ATR72,72,51,1260261,971872
F0463,DEL-BLR,Delhi,Bangalore,India,India,2024-04-05,145,B737,160,127,1785493,1584575
F0464,DEL-HYD,Delhi,Hyderabad,India,India,2023-02-22,115,A320,180,124,4057032,3796510
F0465,BOM-DEL,Mumbai,Delhi,India,India,2023-03-16,120,A320,180,114,5301798,5055300
F0466,DEL-HYD,Delhi,Hyderabad,India,India,2024-05-05,115,A320,180,116,3459236,2788544
F0467,BOM-DEL,Mumbai,Delhi,India,India,2023-08-05,120,A320,180,114,1788432,1719412
F0468,BOM-JFK,Mumbai,New York,India,USA,2023-09-06,910,B777,300,202,6866586,7005938
F0469,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-10-17,280,A320,180,138,5320728,4718302
F0470,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-11-12,280,A320,180,123,3882987,3415031
F0471,BOM-JFK,Mumbai,New York,India,USA,2024-04-22,910,B777,300,175,6784400,6557598
F0472,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-07-28,280,A320,180,137,3905459,3299626
F0473,DEL-HYD,Delhi,Hyderabad,India,India,2023-05-30,115,A320,180,92,2308280,2062815
F0474,DEL-LHR,Delhi,London,India,UK,2023-10-30,520,B787,250,144,3003408,2449137
F0475,DEL-LHR,Delhi,London,India,UK,2024-08-06,520,B787,250,231,5568024,4870659
F0476,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-09-21,280,A320,180,152,6102952,5256412
F0477,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-06-23,280,A320,180,107,4688526,4083287
F0478,BOM-DEL,Mumbai,Delhi,India,India,2024-06-20,120,A320,180,94,1209874,1247157
F0479,BOM-DEL,Mumbai,Delhi,India,India,2023-01-07,120,A320,180,142,2415420,2403078
F0480,DEL-HYD,Delhi,Hyderabad,India,India,2023-03-11,115,A320,180,180,3221460,2265329
F0481,BOM-JFK,Mumbai,New York,India,USA,2024-01-18,910,B777,300,165,8000850,7386424
F0482,BOM-JFK,Mumbai,New York,India,USA,2024-05-14,910,B777,300,154,1298682,1150988
F0483,DEL-LHR,Delhi,London,India,UK,2023-01-13,520,B787,250,127,5422265,5166157
F0484,BOM-DXB,Mumbai,Dubai,India,UAE,2023-01-18,190,A321,200,164,5939752,5833779
F0485,BOM-GOA,Mumbai,Goa,India,India,2023-04-20,75,ATR72,72,42,1779372,1338290
F0486,DEL-HYD,Delhi,Hyderabad,India,India,2024-06-23,115,A320,180,122,3809816,3023331
F0487,DEL-LHR,Delhi,London,India,UK,2023-03-22,520,B787,250,172,5952748,5123227
F0488,DEL-HYD,Delhi,Hyderabad,India,India,2023-08-20,115,A320,180,128,1700224,1579180
F0489,BOM-DEL,Mumbai,Delhi,India,India,2023-04-06,120,A320,180,141,4632555,3854329
F0490,BOM-JFK,Mumbai,New York,India,USA,2023-02-27,910,B777,300,152,2923112,2130773
F0491,DEL-LHR,Delhi,London,India,UK,2023-12-06,520,B787,250,197,2807053,2844041
F0492,BOM-DEL,Mumbai,Delhi,India,India,2023-08-24,120,A320,180,117,5281848,4576325
F0493,BOM-DEL,Mumbai,Delhi,India,India,2023-03-18,120,A320,180,177,4668198,4737096
F0494,BOM-DEL,Mumbai,Delhi,India,India,2023-07-03,120,A320,180,130,1173380,1216225
F0495,BOM-GOA,Mumbai,Goa,India,India,2024-02-12,75,ATR72,72,40,1104520,835964
F0496,DEL-HYD,Delhi,Hyderabad,India,India,2024-08-03,115,A320,180,139,6036214,4926187
F0497,BOM-GOA,Mumbai,Goa,India,India,2023-03-22,75,ATR72,72,68,2085288,1498891
F0498,DEL-LHR,Delhi,London,India,UK,2023-08-26,520,B787,250,232,3011592,2467118
F0499,DEL-LHR,Delhi,London,India,UK,2023-12-01,520,B787,250,128,6343296,5047135
F0500,BOM-JFK,Mumbai,New York,India,USA,2024-05-17,910,B777,300,208,6514144,5820799
F0501,DEL-LHR,Delhi,London,India,UK,2024-03-18,520,B787,250,148,6866460,6394289
F0502,DEL-BLR,Delhi,Bangalore,India,India,2023-10-30,145,B737,160,111,1422687,1036730
F0503,BOM-GOA,Mumbai,Goa,India,India,2024-01-25,75,ATR72,72,45,1509030,1223577
F0504,DEL-BLR,Delhi,Bangalore,India,India,2023-04-04,145,B737,160,80,2256160,1930500
F0505,BOM-DXB,Mumbai,Dubai,India,UAE,2023-04-15,190,A321,200,116,1591636,1218536
F0506,BOM-JFK,Mumbai,New York,India,USA,2024-07-24,910,B777,300,292,12142236,10233664
F0507,BOM-DEL,Mumbai,Delhi,India,India,2023-04-02,120,A320,180,135,5983335,4383226
F0508,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-01-30,280,A320,180,91,2468466,2085442
F0509,DEL-BLR,Delhi,Bangalore,India,India,2024-07-26,145,B737,160,111,5048613,4454828
F0510,DEL-LHR,Delhi,London,India,UK,2023-06-23,520,B787,250,142,3638466,2930405
F0511,BOM-JFK,Mumbai,New York,India,USA,2023-05-30,910,B777,300,166,3147028,2681698
F0512,DEL-LHR,Delhi,London,India,UK,2023-11-03,520,B787,250,186,2425626,2004522
F0513,DEL-HYD,Delhi,Hyderabad,India,India,2024-05-22,115,A320,180,166,8036724,6175755
F0514,DEL-BLR,Delhi,Bangalore,India,India,2023-05-19,145,B737,160,118,996274,1028242
F0515,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-01-25,280,A320,180,132,4864200,3974818
F0516,BOM-GOA,Mumbai,Goa,India,India,2023-11-04,75,ATR72,72,56,2661792,2745765
F0517,DEL-HYD,Delhi,Hyderabad,India,India,2024-05-05,115,A320,180,130,2553330,2649338
F0518,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-10-26,280,A320,180,178,8806906,7678323
F0519,DEL-HYD,Delhi,Hyderabad,India,India,2023-11-30,115,A320,180,138,3638922,3587151
F0520,DEL-LHR,Delhi,London,India,UK,2024-01-09,520,B787,250,139,6248328,4810775
F0521,BOM-GOA,Mumbai,Goa,India,India,2024-07-17,75,ATR72,72,37,1415324,1457842
F0522,DEL-HYD,Delhi,Hyderabad,India,India,2024-03-24,115,A320,180,127,1591564,1570297
F0523,DEL-LHR,Delhi,London,India,UK,2024-05-26,520,B787,250,142,7029852,5666000
F0524,BOM-DXB,Mumbai,Dubai,India,UAE,2023-06-07,190,A321,200,191,6824430,6661850
F0525,DEL-BLR,Delhi,Bangalore,India,India,2024-04-04,145,B737,160,156,6147492,5556013
F0526,DEL-LHR,Delhi,London,India,UK,2024-07-10,520,B787,250,129,4071498,3849894
F0527,DEL-BLR,Delhi,Bangalore,India,India,2023-04-22,145,B737,160,111,3470415,2631332
F0528,BOM-DEL,Mumbai,Delhi,India,India,2024-07-30,120,A320,180,172,5880508,6106224
F0529,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-03-16,280,A320,180,103,895173,657515
F0530,DEL-HYD,Delhi,Hyderabad,India,India,2024-06-06,115,A320,180,156,6952608,6279466
F0531,DEL-HYD,Delhi,Hyderabad,India,India,2024-04-01,115,A320,180,137,4607721,3972187
F0532,BOM-GOA,Mumbai,Goa,India,India,2023-12-20,75,ATR72,72,37,1466606,1080290
F0533,DEL-LHR,Delhi,London,India,UK,2023-03-29,520,B787,250,139,2402476,1974631
F0534,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-04-11,280,A320,180,116,4889516,4249107
F0535,BOM-JFK,Mumbai,New York,India,USA,2023-04-10,910,B777,300,262,9864562,8006259
F0536,BOM-DXB,Mumbai,Dubai,India,UAE,2023-02-15,190,A321,200,190,2952980,2090428
F0537,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-22,280,A320,180,176,3303696,3387850
F0538,DEL-HYD,Delhi,Hyderabad,India,India,2024-06-12,115,A320,180,112,4946928,3740112
F0539,DEL-LHR,Delhi,London,India,UK,2024-04-18,520,B787,250,154,5319930,4896549
